,suppl_id,suppl_number,suppl_name
4,0948097-9,,SÄÄVÄLÄT OY
46,0115761-6,,VEHO OY AB
57,2110912-8,,AK TAUKO OY / AUTOKEIDAS
99,2043575-7,,STARK
118,0111467-5,,B. BRAUN MEDICAL OY
150,2213373-6,,SASSIN LIIKENNE OY
247,2302414-4,,OULUN SEUDUN ULOSOTTOVIRASTO
256,2302414-4,,PÄIJÄT-HÄMEEN ULOSOTTOVIRASTO
286,2302414-4,,KESKI-SUOMEN ULOSOTTOVIRASTO
288,0986674-0,,POHJOIS-SAVON ULOSOTTOVIRASTO
294,Puuttuu,,PIRKANMAAN ULOSOTTOVIRASTO
297,0911917-1,,KESPRO OY
305,Puuttuu,,LAPUAN KAUPUNKI
306,1523846-8,,GIGANTTI OY
347,Puuttuu,,AUTOILIJA HALLIKAINEN
362,1546343-8,,LEKOLAR-PRINTEL OY
380,0110031-0,,KIRJAVÄLITYS OY
401,0124610-9,,VANTAAN KAUPUNKI
403,Puuttuu,,MLL KUIVASJÄRVEN YHDISTYS RY
434,0107801-0,,ETRA OY
461,Puuttuu,,NAL VON MINDEN GMBH
475,2303565-2,,KK KANTO OY
476,Puuttuu,,BAASEL KONECNY STEGER WILLIAMS
480,2362848-2,,WESTLOG OY / ROCHE DIAGNOSTICS
482,0116647-5,,JULKISTEN JA HYVINVOINTIALOJEN
496,2077956-8,,RAMIRENT FINLAND OY
512,0993774-8,,EXPERT ASA OY
525,2131125-4,,BOOKY.FI OY
528,25757448,,TEVELLA OY
555,2718015-2,,VALTERI-KOULU TERVAVÄYLÄ
577,0110031-0,,KIRJAVÄLITYS OTAVAN VERKKOKAUP
579,1458359-3,,OP VAKUUTUS OY
615,Puuttuu,,SOMNOMED NORDIC AB
647,0187614-3,,OSUUSKAUPPA ARINA
706,0187366-3,,OULUN AUTOKULJETUS OY
744,2670456-7,,FENNO MEDICAL OY
837,1787853-0,,INSPECTA OY
838,1093863-3,,SUOMEN TERVEYSTALO OY
846,2375618-5,,TERAPIAMAAILMA OY
871,0109357-9,,POSTI OY
891,0679480-9,,POHJOIS-POHJANMAAN SAIRAANHOIT
923,1509374-8,,PEAB OY
