,Toslaji ,Tili,Tilin nimi,Kp,KP:n nimi,Tositepvm,Tositenumero,Tot eurot,Toimittajan nimi, Toimittaja Y-tun/sotu,Docid
0,OR1,4301,Asiakaspalvelujen ostot valtio,4305,Perusopetuksen yhteistoiminnot,2018-08-31 00:00:00,20221425,996,THL TERVEYDEN JA HYVINVOINNIN LAITO,0986674-0,392624
1,OR1,4305,Asiakaspalvelujen ostot kunnil,1154,Alueelliset hankkeet,2018-08-20 00:00:00,20219734,100,URJALAN KUNTA,0157323-0,387638
2,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219290,62.32,OULUN KAUPUNKI/SOTE,0187690-1,383354
3,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219314,140.95,ESPOON KAUPUNKI,0101263-6,386530
4,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219338,28.5,NOKIAN KAUPUNKI,0205717-4,387036
5,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219341,701.15,PIRKKALAN KUNTA,0152084-1,387040
6,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219446,272.64,KANGASALAN KAUPUNKI,1923299-5,387474
7,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219575,837,KEMIJÄRVEN KAUPUNKI,0191717-9,386282
8,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-02 00:00:00,20217985,21.4,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,383963
9,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-07 00:00:00,20218207,109.45,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,385311
10,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-16 00:00:00,20219587,117.03,AKAAN KAUPUNKI,2050864-5,387046
11,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-20 00:00:00,20219609,150,JÄMSÄN KAUPUNKI,0175622-1,387611
12,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-21 00:00:00,20219626,336,JANAKKALAN KUNTA,0147510-4,387852
13,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20219711,350,JANAKKALAN KUNTA,0147510-4,388436
14,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20219885,792,KINNULAN KUNTA,0242816-6,388560
15,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20220157,496.29,INKOON KUNTA,0126293-4,388561
16,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20219726,459,VIRTAIN KAUPUNKI,0206333-9,388685
17,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20219727,199,SALON KAUPUNKI,0139533-1,388687
18,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20220159,136.53,AKAAN KAUPUNKI,2050864-5,388661
19,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220020,107.56,MIEHIKKÄLÄN KUNTA,0162675-0,388845
20,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220023,207.88,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,388877
21,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220025,510,VIRTAIN KAUPUNKI,0206333-9,388910
22,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-30 00:00:00,20220034,145,KUUSAMON KAUPUNKI TERVEYSKESKU,0186418-5,389388
23,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-30 00:00:00,20220172,85.5,KANGASALAN KAUPUNKI,1923299-5,389414
24,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20220387,144.5,KERAVAN KAUPUNKI,0127485-5,390241
25,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20220536,149.09,TAMPEREEN KAUPUNKI,0211675-2,389583
26,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221032,244.14,KANGASALAN KAUPUNKI,1923299-5,391344
27,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221505,66.99,PORVOON KAUPUNKI,1061512-1,389798
28,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221534,52.8,HYVINKÄÄN KAUPUNKI,0125866-0,392906
29,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221542,607.92,PARKANON KAUPUNKI,0136311-0,392932
30,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221573,167,HAMINAN KAUPUNKI,0242496-6,393411
31,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221932,119.4,AKAAN KAUPUNKI,2050864-5,393115
32,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221948,264.3,LEMPÄÄLÄN KUNTA,0150783-1,393696
33,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221970,213.36,KANGASALAN KAUPUNKI,1923299-5,393905
34,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-03 00:00:00,20218433,95.32,LEMPÄÄLÄN KUNTA,0150783-1,384364
35,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-08 00:00:00,20218530,139,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,385521
36,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-27 00:00:00,20220162,104.7,KOUVOLAN KAUPUNKI,0161075-9,388755
37,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-31 00:00:00,20220625,236.84,SASTAMALAN KAUPUNKI,0144411-3,390485
38,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-31 00:00:00,20220734,137.5,KANGASALAN KAUPUNKI,1923299-5,391031
