,label,code,entity
0,Toiminnan rahavirta,1541,KKTR
1,Vuosikate,1400,KKTR
2,Satunnaiset erät,1164,KKTR
3,Tulorahoituksen korjauserät,1525,KKTR
4,Investointien rahavirta,1347,KKTR
5,Investointimenot,1374,KKTR
6,Rahoitusosuudet investointimenoihin,1362,KKTR
7,Pysyvien vastaavien hyödykkeiden luovutustulot,1001,KKTR
8,Toiminnan ja investointien rahavirta,967,KKTR
9,Antolainauksen muutokset,950,KKTR
10,Antolainasaamisten lisäys,930,KKTR
11,Antolainasaamisten vähennys,1058,KKTR
12,Lainakannan muutokset,1199,KKTR
13,Pitkäaikaisten lainojen lisäys,1185,KKTR
14,Pitkäaikaisten lainojen vähennys,1221,KKTR
15,Lyhytaikaisten lainojen muutos,1209,KKTR
16,Lyhytaikaisten lainojen lisäys,1572,KKTR
17,Lyhytaikaisten lainojen vähennys,1561,KKTR
18,Oman pääoman muutokset,1025,KKTR
19,Oman pääoman lisäys,1597,KKTR
20,Oman pääoman vähennys,1695,KKTR
21,Muut maksuvalmiuden muutokset,1005,KKTR
22,Toimeksiantojen varojen ja pääomien muutokset,929,KKTR
23,Toimeksiantojen varojen ja pääomien lisäys,1683,KKTR
24,Toimeksiantojen varojen ja pääomien vähennys,1732,KKTR
25,Vaihto-omaisuuden muutos,919,KKTR
26,Saamisten muutos,899,KKTR
27,Korottomien velkojen muutos,877,KKTR
28,Rahoituksen rahavirta,1290,KKTR
29,Rahavarojen muutos,1000,KKTR
30,Rahavarat 31.12.,1456,KKTR
31,Rahavarat 1.1.,47,KKTR
32,Toimintatuotot,4835140,KKNR
33,3000-3199 Myyntituotot,4837410,KKNR
34,"3005 Myyntituotot, tili",4796550,KKNR
35,3200-3299 Maksutuotot,4841950,KKNR
36,"3295 Maksutuotot, tili",4798820,KKNR
37,3300-3399 Tuet ja avustukset,4844220,KKNR
38,3300 Tuet ja avustukset (muilta),4667160,KKNR
39,3350 Tuet ja avustukset muilta kunnilta,4778390,KKNR
40,3390 Palkkatuki,4612680,KKNR
41,3400-3559 Muut toimintatuotot,4846490,KKNR
42,3400-3499 Vuokratuotot,4848760,KKNR
43,"3499 Vuokratuotot, muut",4662620,KKNR
44,3440 Maa- ja vesialueiden vuokratuotot,4664890,KKNR
45,3500-3559 Muut tuotot,4437890,KKNR
46,3510 Pysyvien vastaavien hyödykkeiden luovutusvoitot,4435620,KKNR
47,3521 Vakuutusyhtiöiden vahinkovakuutuskorvaukset,4617220,KKNR
48,"3530 Muut tuotot, erittelemättömät",4440160,KKNR
49,3536 Sakot ja uhkasakot,4503720,KKNR
50,3700-3799 Valmistus omaan käyttöön,4769310,KKNR
51,"3710 Valmistus omaan käyttöön, tili",4801090,KKNR
52,Toimintakulut,4851030,KKNR
53,4000-4299 Henkilöstökulut,4828330,KKNR
54,4000-4099 Palkat ja palkkiot,4839680,KKNR
55,4000 Maksetut palkat ja palkkiot,4669430,KKNR
56,4060 Jaksotetut palkat ja palkkiot,4671700,KKNR
