,name,bid
0,Akaa,2050864-5
0,Alajärvi,0177619-3
0,Alavieska,0184674-5
0,Alavus,0177736-4
0,Asikkala,0145208-4
0,Askola,9000162-0
0,Aura,0132103-3
0,Brändö,0204999-1
0,Eckerö,0144682-1
0,Enonkoski,0163687-9
0,Enontekiö,0190662-1
0,Espoo,0101263-6
0,Eura,0132239-4
0,Eurajoki,0132322-3
0,Evijärvi,0177804-1
0,Finström,0205003-6
0,Forssa,0145626-1
0,Föglö,0282394-0
0,Geta,0205012-4
0,Haapajärvi,0209756-3
0,Haapavesi,0184872-4
0,Hailuoto,0184918-8
0,Halsua,0177826-0
0,Hamina,0242496-6
0,Hammarland,0205014-0
0,Hankasalmi,0174035-0
0,Hanko,0103166-9
0,Harjavalta,0132585-1
0,Hartola,0163734-5
0,Hattula,0145801-3
0,Hausjärvi,0145997-2
0,Heinola,0178718-3
0,Heinävesi,0164308-3
0,Helsinki,0164308-3
0,Hirvensalmi,0164384-1
0,Hollola,0146248-5
0,Huittinen,0203762-4
0,Humppila,0146456-0
0,Hyrynsalmi,0185075-2
0,Hyvinkää,0125866-0
0,Hämeenkyrö,0132947-3
0,Hämeenlinna,0146921-4
0,Ii,2054621-1
0,Iisalmi,9086071-6
0,Iitti,0158766-7
0,Ikaalinen,0203797-4
0,Ilmajoki,0178008-8
0,Ilomantsi,0167589-4
0,Imatra,0159216-7
0,Inari,0190758-7
0,Inkoo,0126293-4
0,Isojoki,0178071-5
0,Isokyrö,0178131-2
0,Janakkala,0147510-4
0,Joensuu,0242746-2
0,Jokioinen,0147645-7
0,Jomala,0205023-9
0,Joroinen,0207112-8
0,Joutsa,0174108-9
0,Juuka,0168654-2
0,Juupajoki,0147705-4
0,Juva,0164551-3
0,Jyväskylä,0174666-4
0,Jämijärvi,0133127-4
0,Jämsä,0175622-1
0,Järvenpää,0126541-4
0,Kaarina,0133226-9
0,Kaavi,0170664-6
0,Kajaani,0214958-9
0,Kalajoki,0185924-7
0,Kangasala,1923299-5
0,Kangasniemi,0164690-3
0,Kankaanpää,0133596-1
0,Kannonkoski,0175798-8
0,Kannus,0178455-6
0,Karijoki,0178498-6
0,Karkkila,0127046-7
0,Karstula,9094917-1
0,Karvia,0133735-0
0,Kaskinen,0208787-5
0,Kauhajoki,0178718-3
0,Kauhava,0208852-8
0,Kauniainen,0203026-2
0,Kaustinen,0178981-6
0,Keitele,0170773-7
0,Kemi,0210427-6
0,Kemijärvi,0191717-9
0,Keminmaa,0210469-8
0,Kemiönsaari,9038213-6
0,Kempele,0186002-9
0,Kerava,0127485-5
0,Keuruu,0208388-2
0,Kihniö,0133862-8
0,Kinnula,0242816-6
0,Kirkkonummi,0203107-0
0,Kitee,0168900-6
0,Kittilä,0191406-6
0,Kiuruvesi,0170843-0
0,Kivijärvi,0176150-6
0,Kokemäki,0203925-9
0,Kokkola,0179377-8
0,Kolari,0191528-8
0,Konnevesi,0176227-7
0,Kontiolahti,0169048-8
0,Korsnäs,0179699-5
0,Koski Tl,0213007-9
0,Kotka,0160225-7
0,Kouvola,0512766-8
0,Kristiinankaupunki,0216509-5
0,Kruunupyy,0180065-9
0,Kuhmo,0186204-0
0,Kuhmoinen,0176357-9
0,Kumlinge,0205030-0
0,Kuopio,0171450-7
0,Kuortane,0180117-6
0,Kurikka,0209046-8
0,Kustavi,0134349-4
0,Kuusamo,0186418-5
0,Kyyjärvi,0176410-9
0,Kärkölä,0148268-9
0,Kärsämäki,0186511-0
0,Kökar,0205032-7
0,Lahti,0149669-3
0,Laihia,0180451-0
0,Laitila,0134480-9
0,Lapinjärvi,0203135-3
0,Lapinlahti,0172127-2
0,Lappajärvi,0180516-9
0,Lappeenranta,0162193-3
0,Lapua,0209113-7
0,Laukaa,0176478-2
0,Lemi,0162576-6
0,Lemland,0205034-3
0,Lempäälä,0150783-1
0,Leppävirta,0172231-2
0,Lestijärvi,0180774-6
0,Lieksa,0169321-6
0,Lieto,0134698-6
0,Liminka,0186553-2
0,Liperi,0169583-6
0,Lohja,1068322-0
0,Loimaa,1927453-8
0,Loppi,0150919-1
0,Loviisa,0203263-9
0,Luhanka,0176592-9
0,Lumijoki,0186580-7
0,Lumparland,0205038-6
0,Luoto,0180857-0
0,Luumäki,0162631-2
0,Maalahti,0180948-5
0,Maarianhamina,0205071-4
0,Marttila,0135086-2
0,Masku,0204064-7
0,Merijärvi,0186588-2
0,Merikarvia,0135202-4
0,Miehikkälä,0162675-0
0,Mikkeli,0165116-3
0,Muhos,0186646-3
0,Multia,0208471-1
0,Muonio,0191824-3
0,Mustasaari,0181101-6
0,Muurame,0176699-9
0,Mynämäki,2048364-4
0,Myrskylä,0203282-3
0,Mäntsälä,0129261-5
0,Mänttä-Vilppula,0157867-2
0,Mäntyharju,0165761-0
0,Naantali,0135457-2
0,Nakkila,0135662-3
0,Nivala,0186757-0
0,Nokia,0205717-4
0,Nousiainen,0135821-5
0,Nurmes,0207669-0
0,Nurmijärvi,9014643-2
0,Närpiö,0181367-9
0,Orimattila,0129920-0
0,Oripää,0135869-6
0,Orivesi,0151789-6
0,Oulainen,0186852-2
0,Oulu,0187690-1
0,Outokumpu,0207604-1
0,Padasjoki,0151924-2
0,Paimio,0136169-2
0,Paltamo,0188808-0
0,Parainen,9038213-6
0,Parikkala,1913642-6
0,Parkano,0136311-0
0,Pedersören kunta,0198517-1
0,Pelkosenniemi,0191866-5
0,Pello,0193729-2
0,Perho,0181464-7
0,Pertunmaa,0165867-2
0,Petäjävesi,0176769-2
0,Pieksämäki,2048903-4
0,Pielavesi,0172446-5
0,Pietarsaari,0172446-5
0,Pihtipudas,0243027-4
0,Pirkkala,0152084-1
0,Polvijärvi,0169823-6
0,Pomarkku,0136610-0
0,Pori,0137323-9
0,Pornainen,0130095-3
0,Porvoo,0130095-3
0,Posio,0191908-6
0,Pudasjärvi,0188962-2
0,Pukkila,0130729-0
0,Punkalaidun,0138037-5
0,Puolanka,0189081-8
0,Puumala,0166400-1
0,Pyhtää,0162798-0
0,Pyhäjoki,0189127-1
0,Pyhäjärvi,0210261-7
0,Pyhäntä,0189226-6
0,Pyhäranta,0204403-1
0,Pälkäne,2050961-3
0,Pöytyä,1929519-5
0,Raahe,1791817-6
0,Raasepori,0131297-0
0,Raisio,0204428-5
0,Rantasalmi,0166507-1
0,Ranua,0191974-8
0,Rauma,0138780-9
0,Rautalampi,0172586-3
0,Rautavaara,0172646-0
0,Rautjärvi,0206951-1
0,Reisjärvi,0189548-3
0,Riihimäki,0152563-4
0,Ristijärvi,0189576-6
0,Rovaniemi,1978283-1
0,Ruokolahti,0163013-5
0,Ruovesi,0152842-1
0,Rusko,0204524-5
0,Rääkkylä,0169967-7
0,Saarijärvi,0176975-1
0,Salla,0192936-4
0,Salo,0139991-4
0,Saltvik,0205119-4
0,Sastamala,0144411-3
0,Sauvo,9038213-6
0,Savitaipale,0163109-0
0,Savonlinna,0166906-4
0,Savukoski,0210704-7
0,Seinäjoki,0210704-7
0,Sievi,0189615-2
0,Siikainen,0139842-8
0,Siikajoki,2047359-3
0,Siikalatva,0189019-9
0,Siilinjärvi,0172718-0
0,Simo,0193015-4
0,Sipoo,0193015-4
0,Siuntio,0131156-4
0,Sodankylä,0193169-1
0,Soini,0182637-3
0,Somero,0153082-0
0,Sonkajärvi,9090160-2
0,Sotkamo,0189766-5
0,Sottunga,0205121-5
0,Sulkava,0167265-0
0,Sund,0205125-8
0,Suomussalmi,0189925-7
0,Suonenjoki,0208061-4
0,Sysmä,0167352-2
0,Säkylä,0139937-5
0,Taipalsaari,0163320-5
0,Taivalkoski,0190100-3
0,Taivassalo,0139991-4
0,Tammela,0153179-4
0,Tampere,0211675-2
0,Tervo,0173081-4
0,Tervola,0193249-1
0,Teuva,0182734-1
0,Tohmajärvi,1919717-3
0,Toholampi,0182779-8
0,Toivakka,0177201-0
0,Tornio,0193524-6
0,Turku,9038213-6
0,Tuusniemi,0173128-6
0,Tuusula,0131661-3
0,Tyrnävä,0190140-9
0,Ulvila,0204910-7
0,Urjala,0157323-0
0,Utajärvi,0190224-1
0,Utsjoki,9129466-4
0,Uurainen,0177224-8
0,Uusikaarlepyy,0183077-8
0,Uusikaupunki,0144036-6
0,Vaala,0190027-0
0,Vaasa,0190027-0
0,Valkeakoski,0157568-2
0,Vantaa,0124610-9
0,Varkaus,0173416-1
0,Vehmaa,0144561-8
0,Vesanto,0173787-2
