,number,name,bid,city_or_mun,language,mun_center,province,subregion
0,020,Akaa,2050864-5,kaupunki,suomi,Toijalan keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta
1,005,Alajärvi,0177619-3,kaupunki,suomi,Alajärven keskustaajama,Etelä-Pohjanmaa,Järviseudun seutukunta
2,009,Alavieska,0184674-5,kunta,suomi,Alavieskan kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta
3,010,Alavus,0177736-4,kaupunki,suomi,Alavuden keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta
4,016,Asikkala,0145208-4,kunta,suomi,Vääksy,Päijät-Häme,Lahden seutukunta
5,018,Askola,9000162-0,kunta,suomi,Askolan kirkonkylä,Uusimaa,Porvoon seutukunta
6,019,Aura,0132103-3,kunta,suomi,Auran asemanseutu,Varsinais-Suomi,Loimaan seutukunta
7,035,Brändö,0204999-1,kunta,ruotsi,Åva,Ahvenanmaa,Ålands skärgård
8,043,Eckerö,0144682-1,kunta,ruotsi,Överby,Ahvenanmaa,Ålands landsbygd
9,046,Enonkoski,0163687-9,kunta,suomi,Enonkosken kirkonkylä,Etelä-Savo,Savonlinnan seutukunta
10,047,Enontekiö,0190662-1,kunta,"suomi, pohjoissaame",Hetta,Lappi,Tunturi-Lapin seutukunta
11,049,Espoo,0101263-6,kaupunki,"suomi, ruotsi",Espoon keskus,Uusimaa,Helsingin seutukunta
12,050,Eura,0132239-4,kunta,suomi,Euran keskustaajama,Satakunta,Rauman seutukunta
13,051,Eurajoki,0132322-3,kunta,suomi,Eurajoen kirkonkylä,Satakunta,Rauman seutukunta
14,052,Evijärvi,0177804-1,kunta,suomi,Evijärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta
15,060,Finström,0205003-6,kunta,ruotsi,Godby,Ahvenanmaa,Ålands landsbygd
16,061,Forssa,0145626-1,kaupunki,suomi,Forssan keskustaajama,Kanta-Häme,Forssan seutukunta
17,062,Föglö,0282394-0,kunta,ruotsi,Degerby,Ahvenanmaa,Ålands skärgård
18,065,Geta,0205012-4,kunta,ruotsi,Vestergeta,Ahvenanmaa,Ålands landsbygd
19,069,Haapajärvi,0209756-3,kaupunki,suomi,Haapajärven keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
20,071,Haapavesi,0184872-4,kaupunki,suomi,Haapaveden keskustaajama,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta
21,072,Hailuoto,0184918-8,kunta,suomi,Hailuodon kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
22,074,Halsua,0177826-0,kunta,suomi,Halsuan kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
23,075,Hamina,0242496-6,kaupunki,suomi,Haminan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta
24,076,Hammarland,0205014-0,kunta,ruotsi,Kattby,Ahvenanmaa,Ålands landsbygd
25,077,Hankasalmi,0174035-0,kunta,suomi,Hankasalmen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
26,078,Hanko,0103166-9,kaupunki,"suomi, ruotsi",Hangon keskustaajama,Uusimaa,Raaseporin seutukunta
27,079,Harjavalta,0132585-1,kaupunki,suomi,Harjavallan keskustaajama,Satakunta,Porin seutukunta
28,081,Hartola,0163734-5,kunta,suomi,Hartolan kirkonkylä,Päijät-Häme,Lahden seutukunta
29,082,Hattula,0145801-3,kunta,suomi,Parola,Kanta-Häme,Hämeenlinnan seutukunta
30,086,Hausjärvi,0145997-2,kunta,suomi,Oitti,Kanta-Häme,Riihimäen seutukunta
31,111,Heinola,0178718-3,kaupunki,suomi,Heinolan keskustaajama,Päijät-Häme,Lahden seutukunta
32,090,Heinävesi,0164308-3,kunta,suomi,Heinäveden kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
33,091,Helsinki,0164308-3,kaupunki,"suomi, ruotsi",Helsingin keskustaajama,Uusimaa,Helsingin seutukunta
34,097,Hirvensalmi,0164384-1,kunta,suomi,Hirvensalmen kirkonkylä,Etelä-Savo,Mikkelin seutukunta
35,098,Hollola,0146248-5,kunta,suomi,Salpakangas,Päijät-Häme,Lahden seutukunta
36,102,Huittinen,0203762-4,kaupunki,suomi,Lauttakylä,Satakunta,Porin seutukunta
37,103,Humppila,0146456-0,kunta,suomi,Humppilan asemanseutu,Kanta-Häme,Forssan seutukunta
38,105,Hyrynsalmi,0185075-2,kunta,suomi,Hyrynsalmen kirkonkylä,Kainuu,Kehys-Kainuun seutukunta
39,106,Hyvinkää,0125866-0,kaupunki,suomi,Hyvinkään keskustaajama,Uusimaa,Helsingin seutukunta
40,108,Hämeenkyrö,0132947-3,kunta,suomi,Pappila,Pirkanmaa,Tampereen seutukunta
41,109,Hämeenlinna,0146921-4,kaupunki,suomi,Hämeenlinnan keskustaajama,Kanta-Häme,Hämeenlinnan seutukunta
42,139,Ii,2054621-1,kunta,suomi,Iin Hamina,Pohjois-Pohjanmaa,Oulunkaaren seutukunta
43,140,Iisalmi,9086071-6,kaupunki,suomi,Iisalmen keskustaajama,Pohjois-Savo,Ylä-Savon seutukunta
44,142,Iitti,0158766-7,kunta,suomi,Kausala,Päijät-Häme,Lahden seutukunta
45,143,Ikaalinen,0203797-4,kaupunki,suomi,Ikaalisten keskustaajama,Pirkanmaa,Luoteis-Pirkanmaan seutukunta
46,145,Ilmajoki,0178008-8,kunta,suomi,Ilmajoen kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta
47,146,Ilomantsi,0167589-4,kunta,suomi,Ilomantsin kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
48,153,Imatra,0159216-7,kaupunki,suomi,Mansikkala,Etelä-Karjala,Imatran seutukunta
49,148,Inari,0190758-7,kunta,"suomi, pohjoissaame, inarinsaame, koltansaame",Ivalo,Lappi,Pohjois-Lapin seutukunta
50,149,Inkoo,0126293-4,kunta,"ruotsi, suomi",Inkoon kirkonkylä,Uusimaa,Raaseporin seutukunta
51,151,Isojoki,0178071-5,kunta,suomi,Isojoen kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta
52,152,Isokyrö,0178131-2,kunta,suomi,Isonkyrön kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta
53,165,Janakkala,0147510-4,kunta,suomi,Turenki,Kanta-Häme,Hämeenlinnan seutukunta
54,167,Joensuu,0242746-2,kaupunki,suomi,Joensuun keskustaajama,Pohjois-Karjala,Joensuun seutukunta
55,169,Jokioinen,0147645-7,kunta,suomi,Jokioisten keskustaajama,Kanta-Häme,Forssan seutukunta
56,170,Jomala,0205023-9,kunta,ruotsi,Prästgården,Ahvenanmaa,Ålands landsbygd
57,171,Joroinen,0207112-8,kunta,suomi,Joroisten kirkonkylä,Pohjois-Savo,Varkauden seutukunta
58,172,Joutsa,0174108-9,kunta,suomi,Joutsan kirkonkylä,Keski-Suomi,Joutsan seutukunta
59,176,Juuka,0168654-2,kunta,suomi,Juuan kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
