,number,name,name_higher,short,desc,info,info2,year
74,7220,Sosiaali- ja terveystoimen tulot ja menot tilikaudelta 2023 alkaen,,,"Tälle luokalle kirjataan mahdolliset sosiaali- ja terveystoimen tulot ja menot, joita muodostuu hyvinvointialuieiden perustamisen jälkeen. Näitä voivat olla muun muassa erilaiset vahingonvastuut tai laskut joita tulee aiemmilta vuosilta ja kuuluvat vielä kunnan vastuulle","Tälle luokalle kirjataan myös mahdollinen yleisen toimialan mahdollistaman yhteistyö hyvinvointialuieiden kanssa. Mikäli kunta tuottaa hyvinvointialueelle erillisellä sopimuksella tai muutoin sosiaali- ja terveystoimen palveluita, kirjataan niiden tuottamisesta aiheutuvat kustannukset tälle luokalle ",Uusi palveluluokka,2023
27,3501,Kirjastopalvelut,,,"Yleisten kirjastojen tarjoamat palvelut. Toiminta, jota säätelee laki yleisistä kirjastoista 1492/2016. ","Kunta voi järjestää palveluja itse, yhteistyössä muiden kuntien kanssa tai muulla tavoin.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
20,3351,Taiteen perusopetus,,,"Opetustuntikohtaisen valtionosuuden piirissä oleva taiteen perusopetus sekä taiteen perusopetus, jonka rahoitus perustuu muuhun kuin opetustuntikohtaiseen valtionosuuteen ja sen edellyttämään opetus- ja kulttuuriministeriön myöntämään järjestämislupaan.  Kansalaisopistojen järjestämä taiteen perusopetus kohdennetaan kansalaisopistojen palveluokkaan. ","Taiteen perusopetuksen järjestäminen edellyttää, että opetus järjestetään taiteen perusopetuksen järjestämisluvan piirissä. Taiteen perusopetusta voi järjestää kunta tai muu taho, jolle opetus- ja kulttuuriministeriö on myöntänyt järjestämisluvan. Taiteen perusopetusta annetaan mm. musiikkioppilaitoksissa, kuvataidekouluissa, arkkitehtuurikouluissa, sanataidekokouluissa, mediataidekouluissa, tanssioppilaitoksissa, sirkustaidekouluissa, teatteritaidekouluissa ja käsityökouluissa Koulutuksen järjestäjän tulee hyväksyä kullekin taiteenalalle Opetushallituksen päättämien opetussuunnitelman perusteiden mukainen opetussuunnitelma. ",Palveluluokan sisältöön ei ole tehty muutoksia,2023
21,3352,Taiteen perusopetusta tukeva toiminta,,,"Taiteen perusopetuksen oppilaitoksen järjestämä taiteen perusopetusta tukeva muu taiteen edistämiseen liittyvä toiminta, joka ei ole opetussuunnitelmaperusteista taiteen perusopetusta.",Taiteen perusopetusta tukeva toiminta ei sisällä kansalaisopistoissa järjestettävää taiteen perusopetusta. ,Tarkennettu huomautusta,2023
22,3451,Kansanopistokoulutus,,,Kansanopiston toteuttama koulutus.,"Kansanopistot ovat kokopäiväistä opetusta antavia sisäoppilaitoksia, jotka järjestävät nuorille ja aikuisille omaehtoisia opintoja, edistävät opiskelijoiden opiskeluvalmiuksia sekä kasvattavat heitä yksilöinä ja yhteiskunnan jäseninä. Oppivelvollisille suunnattu koulutus (Laki vapaasta sivistystyöstä 632/1998 7 a luku.) sekä kotoutumissuunnitelman mukainen koulutus. Edellyttää ylläpitämislupaa. Palveluluokka sisältää avustukset kansanopistoille. Kansanopistoissa oppivelvollisuutta suorittavien osalta koulutuksen järjestäjille jää yhteisöllinen oppilas- ja opiskelijahuolto ja yhteistyö ja opiskelijahuollon suunnitelman toteuttamisvastuu.",Tarkennettu palvelukuvausta ja huomautusta,2023
23,3452,Kesäyliopistokoulutus,,,"Kunnan tai kuntayhtymän ylläpitämä tai  avustama kesäyliopisto, joka saa valtionosuutta koulutuksen ylläpitämiseen.","Kesäyliopistot ovat alueellisen koulutustarjonnan oppilaitoksia, joiden toiminnassa painottuvat avoin korkeakouluopetus sekä alueen muihin osaamis- ja sivistystarpeisiin vastaaminen ottaen huomioon myös korkeakoulutettu väestö. Kotoutumissuunnitelman mukainen koulutus. Edellyttää ylläpitämislupaa .Palveluluokka sisältää avustukset kesäyliopistoille.",Tarkennettu huomautusta,2023
24,3453,Liikunnan koulutuskeskuksen antama koulutus,,,"
Kunnan tai kuntayhtymän ylläpitämä liikunnan koulutuskeskus, joka saa valtionosuutta liikunnan koulutuskeskuksessa annettuun opetukseen.
","Liikunnan koulutuskeskukset ovat kokopäiväistä opetusta antavia valtakunnallisia sisäoppilaitoksia tai alueellisia oppilaitoksia, joiden tehtävänä on järjestää liikuntaharrastusta, hyvinvointia ja terveyttä edistävää koulutusta koko väestölle sekä liikunnan järjestö- ja seuratoimintaa palvelevaa koulutusta ja valmennustoimintaa. Edellyttää ylläpitämislupaa.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
25,3454,Kotoutumiskoulutus,,,"Suomen ja ruotsin kielen sekä tarvittaessa muuta opetusta, joka edistää työelämään ja jatkokoulutukseen pääsyä","Kotoutumiskoulutus voidaan järjestää myös omaehtoisena opiskeluna. Kotoutumiskoulutus voi sisältää myös aikaisemmin hankitun osaamisen tunnistamista ja tutkinnon tunnustamista, ammatillista suunnittelua ja uraohjausta.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
26,3455,Muu opetus- ja kasvatustoiminta,,,Muu kuin perusopetuslain mukainen kerhotoiminta tai aamu- ja iltapäivätoiminta koululaisille sekä taiteen ja kulttuurin harrastustunnit koulupäivän yhteydessä,Toiminta on luonteeltaan harrastustyyppistä ja vapaaehtoista. Opetuksen järjestäjät voivat järjestää peruskoulun oppilaille harrastustoimintaa koulujen vapaa-aikoina. Luokalle kohdistetaan  esi- ja perusopetuksen yhteydessä järjestetty toiminta jos se ei täytä perusopetuksen kerhotoiminnalle tai aamu- ja iltapäivätoiminnalle annettuja määräyksiä. Koulupäivän yhteydessä toteutettavan harrastamisen Suomen mallin kustannukset sisällytetään tähän luokkaan.,Palveluluokan sisältöön ei ole tehty muutoksia,2023
28,3502,Kirjaston alueellinen kehittämistehtävä,,,Alueellisella kehittämistehtävällä tarkoitetaan kirjastoista annetun lain (1492/2016) 8 § 1 momentin mukaista alueellista kehitystehtävää. Säännöksen mukaan alueellisella kehittämistehtävällä luodaan edellytyksiä toimialueen yleisten kirjastojen toiminnan vahvistumiselle. Kehittämistehtävällä tuetaan toimialueen yleisten kirjastojen kehittymistä ja henkilöstön osaamista sekä edistetään yleisten kirjastojen keskinäistä yhteistoimintaa.,,Palveluluokan sisältöön ei ole tehty muutoksia,2023
