,code,name,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
0,020,Akaa,kaupunki,suomi,Toijalan keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta,16440,31438.0,29326.0,561.0
1,005,Alajärvi,kaupunki,suomi,Alajärven keskustaajama,Etelä-Pohjanmaa,Järviseudun seutukunta,9270,1056.75,1008.77,92.0
2,009,Alavieska,kunta,suomi,Alavieskan kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,2484,25302.0,25150.0,99.0
3,010,Alavus,kaupunki,suomi,Alavuden keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,11210,1151.5,1087.24,103.0
4,016,Asikkala,kunta,suomi,Vääksy,Päijät-Häme,Lahden seutukunta,8043,75555.0,56334.0,143.0
5,018,Askola,kunta,suomi,Askolan kirkonkylä,Uusimaa,Porvoon seutukunta,4819,21803.0,21244.0,227.0
6,019,Aura,kunta,suomi,Auran asemanseutu,Varsinais-Suomi,Loimaan seutukunta,3975,9558.0,9501.0,418.0
7,035,Brändö,kunta,ruotsi,Åva,Ahvenanmaa,Ålands skärgård,444,10844.0,10818.0,41.0
8,043,Eckerö,kunta,ruotsi,Överby,Ahvenanmaa,Ålands landsbygd,935,10918.0,10772.0,87.0
9,046,Enonkoski,kunta,suomi,Enonkosken kirkonkylä,Etelä-Savo,Savonlinnan seutukunta,1355,41921.0,30555.0,44.0
10,047,Enontekiö,kunta,"suomi, pohjoissaame",Hetta,Lappi,Tunturi-Lapin seutukunta,1808,8391.31,7953.44,2.0
11,049,Espoo,kaupunki,"suomi, ruotsi",Espoon keskus,Uusimaa,Helsingin seutukunta,300748,33025.0,31234.0,9629.0
12,050,Eura,kunta,suomi,Euran keskustaajama,Satakunta,Rauman seutukunta,11379,63020.0,57887.0,197.0
13,051,Eurajoki,kunta,suomi,Eurajoen kirkonkylä,Satakunta,Rauman seutukunta,9250,52091.0,51500.0,18.0
14,052,Evijärvi,kunta,suomi,Evijärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2376,39071.0,35415.0,67.0
15,060,Finström,kunta,ruotsi,Godby,Ahvenanmaa,Ålands landsbygd,2597,13286.0,12332.0,211.0
16,061,Forssa,kaupunki,suomi,Forssan keskustaajama,Kanta-Häme,Forssan seutukunta,16484,25336.0,24883.0,662.0
17,062,Föglö,kunta,ruotsi,Degerby,Ahvenanmaa,Ålands skärgård,499,13499.0,13477.0,37.0
18,065,Geta,kunta,ruotsi,Vestergeta,Ahvenanmaa,Ålands landsbygd,498,8747.0,8455.0,59.0
19,069,Haapajärvi,kaupunki,suomi,Haapajärven keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,6784,78931.0,76642.0,89.0
20,071,Haapavesi,kaupunki,suomi,Haapaveden keskustaajama,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,6608,1086.53,1050.59,63.0
21,072,Hailuoto,kunta,suomi,Hailuodon kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,955,20735.0,20566.0,46.0
22,074,Halsua,kunta,suomi,Halsuan kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,1075,42834.0,41301.0,26.0
23,075,Hamina,kaupunki,suomi,Haminan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta,19626,63371.0,60994.0,322.0
24,076,Hammarland,kunta,ruotsi,Kattby,Ahvenanmaa,Ålands landsbygd,1636,14029.0,13855.0,118.0
